DATE,Series,Values
2009 Mar,avg_weekly_earnings,-0.29385291470324093
2009 Mar,CPI_index,0.24317484554154944
2009 Mar,unemp_rate,1.1235955056179803
2009 Mar,emp_rate,1.2658227848101111
2009 Mar,index,-1.07374715163997
2009 Apr,avg_weekly_earnings,-1.5797998035206984
2009 Apr,CPI_index,0.2496368277788097
2009 Apr,unemp_rate,-4.444444444444451
2009 Apr,emp_rate,-5.000000000000004
2009 Apr,index,-2.6768139294946813
2009 May,avg_weekly_earnings,-0.11060753210316854
2009 May,CPI_index,0.2888763834177466
2009 May,unemp_rate,5.813953488372103
2009 May,emp_rate,6.578947368421062
2009 May,index,0.23381879817374607
2009 Jun,avg_weekly_earnings,-0.11073000783211606
2009 Jun,CPI_index,0.8589892263953347
2009 Jun,unemp_rate,6.593406593406592
2009 Jun,emp_rate,7.407407407407396
2009 Jun,index,2.6104513120586814
2009 Jul,avg_weekly_earnings,0.5245227924079332
2009 Jul,CPI_index,-0.15855869221532704
2009 Jul,unemp_rate,0
2009 Jul,emp_rate,0
2009 Jul,index,-0.627584777218404
2009 Aug,avg_weekly_earnings,2.21759010220548
2009 Aug,CPI_index,0.2242850044810618
2009 Aug,unemp_rate,-1.0309278350515427
2009 Aug,emp_rate,-1.1494252873563204
2009 Aug,index,3.533943243400728
2009 Sep,avg_weekly_earnings,-1.5721822415766584
2009 Sep,CPI_index,0.06254806934959944
2009 Sep,unemp_rate,-1.041666666666663
2009 Sep,emp_rate,-1.1627906976744096
2009 Sep,index,-0.842551495824384
2009 Oct,avg_weekly_earnings,0.5680754938915067
2009 Oct,CPI_index,0.0963101185818438
2009 Oct,unemp_rate,0
2009 Oct,emp_rate,0
2009 Oct,index,-0.46089854782901396
2009 Nov,avg_weekly_earnings,2.001621499488304
2009 Nov,CPI_index,0.07077533687673832
2009 Nov,unemp_rate,-1.0526315789473606
2009 Nov,emp_rate,-1.17647058823529
2009 Nov,index,-0.3820589670950225
2009 Dec,avg_weekly_earnings,-1.4346211479575155
2009 Dec,CPI_index,-0.1761198169463296
2009 Dec,unemp_rate,3.1914893617021267
2009 Dec,emp_rate,3.5714285714285587
2009 Dec,index,0.8477603328303607
2010 Jan,avg_weekly_earnings,0.28422611178677837
2010 Jan,CPI_index,0.34174735701484327
2010 Jan,unemp_rate,9.278350515463929
2010 Jan,emp_rate,10.344827586206895
2010 Jan,index,0.9862830818621715
2010 Feb,avg_weekly_earnings,-0.0316376435228527
2010 Feb,CPI_index,0.024920738207656612
2010 Feb,unemp_rate,-1.8867924528301772
2010 Feb,emp_rate,-2.083333333333326
2010 Feb,index,0.05440824847033898
2010 Mar,avg_weekly_earnings,0.19384189358475634
2010 Mar,CPI_index,0.4106283536571276
2010 Mar,unemp_rate,-1.9230769230769384
2010 Mar,emp_rate,-2.1276595744680993
2010 Mar,index,1.2068917089393505
2010 Apr,avg_weekly_earnings,0.815982732752496
2010 Apr,CPI_index,0.1736884910697345
2010 Apr,unemp_rate,-6.8627450980392135
2010 Apr,emp_rate,-7.608695652173902
2010 Apr,index,-1.0838179967295747
2010 May,avg_weekly_earnings,1.4908226939244429
2010 May,CPI_index,0.0775197354237811
2010 May,unemp_rate,-2.1052631578947323
2010 May,emp_rate,-2.35294117647058
2010 May,index,1.9725397684039025
2010 Jun,avg_weekly_earnings,-2.0130170817040605
2010 Jun,CPI_index,-0.09762670846739097
2010 Jun,unemp_rate,3.2258064516129004
2010 Jun,emp_rate,3.6144578313252795
2010 Jun,index,3.05499609293316
2010 Jul,avg_weekly_earnings,0.6077790467189148
2010 Jul,CPI_index,0.02110430573716293
2010 Jul,unemp_rate,1.041666666666674
2010 Jul,emp_rate,1.1627906976744207
2010 Jul,index,-1.6796814927464432
2010 Aug,avg_weekly_earnings,2.0510947000339286
2010 Aug,CPI_index,0.13806642784079948
2010 Aug,unemp_rate,-2.0618556701030855
2010 Aug,emp_rate,-2.298850574712641
2010 Aug,index,2.8167361835245153
2010 Sep,avg_weekly_earnings,-1.467767918786922
2010 Sep,CPI_index,0.058173623071566816
2010 Sep,unemp_rate,-3.157894736842115
2010 Sep,emp_rate,-3.529411764705892
2010 Sep,index,-1.154481645347627
2010 Oct,avg_weekly_earnings,0.9874652894921176
2010 Oct,CPI_index,0.12451988884769616
2010 Oct,unemp_rate,-2.1739130434782483
2010 Oct,emp_rate,-2.4390243902438935
2010 Oct,index,-0.9998460953097643
2010 Nov,avg_weekly_earnings,-0.29167255579682916
2010 Nov,CPI_index,0.04206464238194485
2010 Nov,unemp_rate,3.3333333333333437
2010 Nov,emp_rate,3.750000000000009
2010 Nov,index,-0.9473285335354298
2010 Dec,avg_weekly_earnings,0.30798969072165505
2010 Dec,CPI_index,0.1718440789203024
2010 Dec,unemp_rate,-2.1505376344086113
2010 Dec,emp_rate,-2.4096385542168752
2010 Dec,index,1.520085797055959
2011 Jan,avg_weekly_earnings,1.7574737599403978
2011 Jan,CPI_index,0.47632300539741657
2011 Jan,unemp_rate,7.692307692307709
2011 Jan,emp_rate,8.641975308641992
2011 Jan,index,-0.09479731303834171
2011 Feb,avg_weekly_earnings,-1.3142777784791893
2011 Feb,CPI_index,0.49313650254514396
2011 Feb,unemp_rate,-3.0612244897959218
2011 Feb,emp_rate,-3.409090909090917
2011 Feb,index,-0.8356096963392678
2011 Mar,avg_weekly_earnings,-0.09850830284267031
2011 Mar,CPI_index,0.97510720305094
